"date","open","high","low","close","volume","oi"
11/01/1985,115.48,116.78,115.48,116.28,900900,0
11/04/1985,116.28,117.07,115.82,116.04,753400,0
11/05/1985,116.04,116.57,115.88,116.44,876800,0
11/06/1985,116.44,117.62,116.44,117.38,935000,0
11/07/1985,117.38,117.96,117.38,117.62,886400,0
11/08/1985,117.62,119.39,117.58,119.26,867600,0
11/11/1985,119.26,120.54,119.18,120.40,803900,0
11/12/1985,120.39,122.01,120.39,121.82,1083000,0
11/13/1985,121.82,121.92,120.90,121.17,932100,0
11/14/1985,121.17,121.92,120.80,121.83,980400,0
11/15/1985,121.83,123.10,121.79,122.18,952700,0
11/18/1985,122.18,122.28,121.73,121.96,822100,0
11/19/1985,121.96,122.80,121.74,122.57,1018000,0
11/20/1985,122.57,122.79,122.20,122.20,976000,0
11/21/1985,122.20,123.81,122.20,123.61,1199000,0
11/22/1985,123.61,124.33,123.44,123.97,1042000,0
11/25/1985,123.97,124.17,122.82,123.14,834300,0
11/26/1985,123.14,124.25,123.09,123.95,936300,0
11/27/1985,123.95,125.88,123.88,125.77,1033000,0
11/29/1985,125.77,126.43,125.52,126.06,575900,0
12/02/1985,126.06,126.28,124.86,125.18,857600,0
12/03/1985,125.18,125.42,124.72,125.23,845400,0
12/04/1985,125.23,128.05,125.17,127.94,1172000,0
12/05/1985,128.07,129.89,127.86,128.46,1415000,0
12/06/1985,128.46,128.54,126.78,126.96,1108000,0
12/09/1985,126.96,127.64,126.83,127.49,1048000,0
12/10/1985,127.49,128.52,127.15,127.97,1118000,0
12/11/1985,127.97,129.65,127.97,129.18,1265000,0
12/12/1985,129.18,130.10,129.18,129.76,1173000,0
12/13/1985,129.76,132.17,129.76,132.13,1317000,0
12/16/1985,132.13,133.18,132.06,132.61,1153000,0
12/17/1985,132.54,132.73,131.32,131.54,1210000,0
12/18/1985,131.52,131.98,130.71,131.14,1379000,0
12/19/1985,131.14,132.03,130.91,131.93,1149000,0
12/20/1985,131.93,132.58,131.70,132.26,1158000,0
12/23/1985,132.26,132.26,130.37,130.73,994100,0
12/24/1985,130.73,130.73,129.30,130.03,642800,0
12/26/1985,130.03,130.63,129.89,130.35,539000,0
12/27/1985,130.35,131.59,130.25,131.49,749100,0
12/30/1985,131.49,132.13,131.24,131.95,928200,0
12/31/1985,131.95,132.66,131.90,132.29,1127000,0
01/02/1986,132.29,132.45,131.07,131.26,758100,0
01/03/1986,131.26,131.26,130.00,130.55,891800,0
01/06/1986,130.55,130.70,129.85,130.35,992400,0
01/07/1986,130.35,132.88,130.33,132.79,1275000,0
01/08/1986,132.79,133.88,131.15,131.16,1400000,0
01/09/1986,131.01,131.16,128.05,128.80,1194000,0
01/10/1986,128.80,129.97,128.79,129.57,985000,0
01/13/1986,129.57,129.60,128.63,129.10,894900,0
01/14/1986,129.10,129.96,128.99,129.18,1029000,0
01/15/1986,129.18,131.65,129.01,131.54,1187000,0
01/16/1986,131.54,133.13,131.54,133.06,1239000,0
01/17/1986,133.06,133.60,132.60,132.77,1128000,0
01/20/1986,132.77,132.79,131.15,131.60,894300,0
01/21/1986,131.60,132.01,130.60,131.09,1107000,0
01/22/1986,131.09,131.78,129.47,129.62,1076000,0
01/23/1986,129.62,129.62,128.46,129.27,1111000,0
01/24/1986,129.27,130.54,129.27,130.20,1183000,0
01/27/1986,130.21,130.99,129.79,130.79,1105000,0
01/28/1986,130.79,132.04,130.67,131.99,1154000,0
01/29/1986,131.99,134.13,131.99,133.06,1321000,0
01/30/1986,133.06,133.16,132.09,132.19,1090000,0
01/31/1986,132.19,133.22,132.03,132.93,1093000,0
02/03/1986,132.93,134.43,132.93,134.24,1076000,0
02/04/1986,134.24,135.69,134.24,134.60,1253000,0
02/05/1986,134.60,135.79,134.60,135.71,1053000,0
02/06/1986,135.71,136.94,135.57,136.64,1197000,0
02/07/1986,136.47,137.49,135.74,137.42,1111000,0
02/10/1986,137.40,138.24,137.30,138.13,1074000,0
02/11/1986,138.13,138.61,137.85,138.26,1133000,0
02/12/1986,138.26,138.76,138.04,138.66,1222000,0
02/13/1986,138.66,139.29,138.45,139.16,1286000,0
02/14/1986,139.16,140.63,139.16,140.16,1224000,0
02/18/1986,140.16,140.76,139.99,140.74,1260000,0
02/19/1986,140.74,140.92,139.59,139.64,1369000,0
02/20/1986,139.64,140.02,138.94,139.95,1249000,0
02/21/1986,139.95,141.24,139.95,141.15,1467000,0
02/24/1986,141.16,141.18,139.99,140.20,1279000,0
02/25/1986,140.20,140.20,138.87,139.40,1189000,0
02/26/1986,139.40,139.63,138.68,138.88,1242000,0
02/27/1986,138.88,140.53,138.74,140.52,1247000,0
02/28/1986,140.90,141.83,140.41,140.43,1306000,0
03/03/1986,140.43,140.66,139.60,139.74,1196000,0
03/04/1986,139.74,141.77,139.70,140.54,1350000,0
03/05/1986,140.54,140.62,139.57,140.24,1174000,0
03/06/1986,140.24,141.35,140.17,140.80,1203000,0
03/07/1986,140.80,141.16,140.24,140.71,1256000,0
03/10/1986,140.71,142.58,140.71,142.43,1129000,0
03/11/1986,142.43,145.50,142.43,145.35,1348000,0
03/12/1986,145.35,147.32,145.34,146.62,1549000,0
03/13/1986,146.62,147.05,145.88,147.01,1401000,0
03/14/1986,147.01,147.45,146.55,147.00,1522000,0
03/17/1986,147.00,147.00,145.57,146.37,1295000,0
03/18/1986,146.37,147.82,146.12,147.63,1395000,0
03/19/1986,147.63,148.57,147.43,147.48,1369000,0
03/20/1986,147.48,148.54,147.27,147.80,1514000,0
03/21/1986,147.80,148.79,147.56,148.01,1329000,0
03/24/1986,148.01,148.15,146.21,147.09,1096000,0
03/25/1986,147.09,147.71,146.63,147.49,1100000,0
03/26/1986,147.49,147.57,146.74,147.26,1271000,0
03/27/1986,147.25,149.05,147.16,148.38,1364000,0
03/31/1986,148.38,149.21,147.89,148.86,1098000,0
04/01/1986,148.86,149.23,148.07,148.45,1253000,0
04/02/1986,148.45,148.94,147.10,148.92,1199000,0
04/03/1986,148.92,149.93,148.55,148.71,1190000,0
04/04/1986,148.71,148.79,146.94,147.04,1117000,0
04/07/1986,147.04,147.08,144.83,146.05,1074000,0
04/08/1986,146.05,148.95,146.05,148.93,1179000,0
04/09/1986,148.93,150.03,148.54,149.05,1310000,0
04/10/1986,149.05,151.77,149.05,151.76,1285000,0
04/11/1986,151.76,153.54,151.76,152.66,1297000,0
04/14/1986,152.66,153.98,152.49,153.93,1181000,0
04/15/1986,153.93,155.02,153.43,154.92,1251000,0
04/16/1986,154.92,158.98,154.92,158.90,1489000,0
04/17/1986,158.90,159.86,158.29,159.05,1560000,0
04/18/1986,157.38,159.15,157.35,157.66,1447000,0
04/21/1986,157.66,158.63,157.24,158.52,1291000,0
